epoch,loss
0,209.49896240234375
1,207.5791778564453
2,206.53021240234375
3,205.7258758544922
4,204.9264678955078
5,204.11793518066406
6,203.14471435546875
7,202.38742065429688
8,201.18893432617188
9,200.1654052734375
10,199.30116271972656
11,198.09390258789062
12,197.31710815429688
13,195.9631805419922
14,195.22230529785156
15,194.52236938476562
16,192.83628845214844
17,192.10614013671875
18,191.02342224121094
19,190.1228790283203
20,189.0867462158203
21,188.0391082763672
22,187.39454650878906
23,186.27301025390625
24,185.97607421875
25,185.6172332763672
26,184.8926239013672
27,184.38079833984375
28,183.60934448242188
29,183.2283477783203
30,183.12066650390625
31,182.67185974121094
32,182.42726135253906
33,181.61610412597656
34,181.6387939453125
35,181.3301239013672
36,180.75717163085938
37,180.68954467773438
38,180.73495483398438
39,180.3218536376953
40,180.20005798339844
41,179.89918518066406
42,180.2943572998047
43,179.66954040527344
44,179.4675750732422
45,179.36578369140625
46,179.18911743164062
47,179.02255249023438
48,178.91607666015625
49,178.3829803466797
50,178.5087432861328
51,178.84979248046875
52,178.4888153076172
53,177.87376403808594
54,177.91612243652344
55,177.88087463378906
56,177.57315063476562
57,177.15191650390625
58,177.74391174316406
59,177.38177490234375
60,176.78805541992188
61,177.42759704589844
62,177.14883422851562
63,176.66726684570312
64,176.4683074951172
65,176.13148498535156
66,176.62046813964844
67,176.35516357421875
68,175.9722137451172
69,175.7650909423828
70,175.67515563964844
71,175.10162353515625
72,175.49075317382812
73,175.9671630859375
74,175.10232543945312
75,175.61412048339844
76,174.947021484375
77,175.19227600097656
78,176.14175415039062
79,174.88734436035156
80,175.31655883789062
81,175.51535034179688
82,174.78170776367188
83,174.45468139648438
84,174.26304626464844
85,174.35130310058594
86,174.22360229492188
87,173.97860717773438
88,173.9068145751953
89,173.59495544433594
90,173.85484313964844
91,174.6009063720703
92,173.62423706054688
93,173.6719970703125
94,173.18832397460938
95,173.5242156982422
96,173.4575653076172
97,173.02000427246094
98,173.06675720214844
99,172.70150756835938
100,173.3849334716797
101,172.77674865722656
102,173.65768432617188
103,172.78073120117188
104,172.77076721191406
105,172.72593688964844
106,172.4884033203125
107,172.62294006347656
108,173.38043212890625
109,173.02487182617188
110,172.38101196289062
111,172.4703826904297
112,172.77337646484375
113,172.13156127929688
114,172.36361694335938
115,172.5389404296875
116,171.77552795410156
117,172.19171142578125
118,172.1256561279297
119,172.01734924316406
120,171.76834106445312
121,171.4239501953125
122,171.76318359375
123,171.9866485595703
124,171.70697021484375
125,172.4722442626953
126,171.32266235351562
127,171.9193115234375
128,171.18295288085938
129,171.1894989013672
130,171.9068603515625
131,171.2420196533203
132,171.12628173828125
133,171.5937957763672
134,170.86366271972656
135,171.0535125732422
136,170.7860107421875
137,170.82920837402344
138,170.3716583251953
139,170.7265625
140,170.59719848632812
141,171.04881286621094
142,170.99058532714844
143,170.40676879882812
144,171.767578125
145,169.95455932617188
146,170.72239685058594
147,170.25010681152344
148,170.51722717285156
149,170.22805786132812
150,170.29302978515625
151,170.19052124023438
152,170.5724639892578
153,169.95860290527344
154,170.05235290527344
155,169.73648071289062
156,170.26495361328125
