tag,ASW_cluster_mean,ASW_cluster_std,ASW_cluster_count,spatial_coherence_mean,spatial_coherence_std,spatial_coherence_count,niches_ARI_bestres_mean,niches_ARI_bestres_std,niches_ARI_bestres_count,n_clusters_mean,n_clusters_std,n_clusters_count,calinski_harabasz_mean,calinski_harabasz_std,calinski_harabasz_count,davies_bouldin_mean,davies_bouldin_std,davies_bouldin_count,train_sec_mean,train_sec_std,train_sec_count,n,delta_ASW_cluster_mean,delta_ASW_cluster_std,delta_spatial_coherence_mean,delta_spatial_coherence_std,delta_niches_ARI_bestres_mean,delta_niches_ARI_bestres_std
baseline,0.2197767103894904,0.013964293466550707,2,0.8037297180873978,0.03842500761116877,2,0.45053767647935206,0.03216007946352529,2,12.5,0.7071067811865476,2,5743.418333532218,363.1971361824068,2,1.579572938522404,0.01077544397958412,2,2879.9,794.22233662873,2,2,0.0,0.0,0.0,0.0,0.0,0.0
no_gene_recon,0.21715877322333435,0.004984950605750918,2,0.45247211984875313,0.018218330556297246,2,0.3644899308041359,0.01162764107300675,2,15.5,0.7071067811865476,2,6806.652241841461,562.8311330691743,2,1.39635815138899,0.013395528185154045,2,2836.2,390.04010050249974,2,2,-0.002617937166156048,0.008979342860799789,-0.35125759823864466,0.056643338167466,-0.08604774567521617,0.043787720536532036
no_edge_recon,0.1742234459743347,0.015263810187370656,2,0.7872576939644856,0.0786149900291568,2,0.44562098389400595,0.044593734641399665,2,12.5,0.7071067811865476,2,3274.4494674872058,229.75654299187792,2,1.6559515456743406,0.019901721047161605,2,3147.1000000000004,712.3393713673282,2,2,-0.0455532644151557,0.029228103653921363,-0.016472024122912154,0.04018998241798802,-0.004916692585346105,0.012433655177874372
no_instance_loss,0.18736573052353234,0.018764508763630672,2,0.7501112812903843,0.05553663296740837,2,0.4325730636682346,0.016019088706041528,2,13.5,0.7071067811865476,2,5542.701785062377,521.8332786125594,2,1.482754003500522,0.009317062810007508,2,2585.1000000000004,614.7586355635847,2,2,-0.03241097986595805,0.03272880223018137,-0.05361843679701345,0.01711162535623964,-0.017964612811117442,0.016140990757483764
no_contrastive,0.19393469350137987,0.0077302459715319115,2,0.7673443258507634,0.04344071741693369,2,0.44225159905459477,0.014520008773151214,2,13.0,0.0,2,5546.538917289159,441.9040721983209,2,1.6463963802036332,0.0647473010438883,2,2453.65,742.8156736364682,2,2,-0.02584201688811051,0.02169453943808261,-0.036385392236634395,0.005015709805764923,-0.00828607742475726,0.017640070690374057
no_entropy_HY,0.19600751148761747,0.005609279430540567,2,0.7064591011343513,0.12549427773128408,2,0.43578270199509317,0.02143206162190683,2,14.5,3.5355339059327378,2,5566.5274741696685,187.54456112741593,2,1.6226934529175217,0.15700460001846595,2,2945.6499999999996,699.2578959153767,2,2,-0.023769198901872943,0.019573572897091284,-0.09727061695304656,0.08706927012011528,-0.01475497448425886,0.01072801784161844
no_cluster_loss,0.2121172241980046,0.022629015139784412,2,0.7745536782654479,0.07836285077103967,2,0.4417075181297573,0.030753512454315117,2,12.5,2.1213203435596424,2,6184.200023833626,25.698484534233764,2,1.5481355968777093,0.04267508156602833,2,2869.65,650.0432639447932,2,2,-0.0076594861914858064,0.008664721673233695,-0.029176039821949995,0.03993784315987086,-0.008830158349594802,0.0014065670092101923
no_adj_recon,0.2334059206302611,0.0136343184736447,2,0.8497044464653234,0.002424936623367496,2,0.4922666989268547,0.007215430252044507,2,12.0,0.0,2,6757.577114377925,1059.8649813411373,2,1.462267603743102,0.023685515715155012,2,3118.45,711.4201325517853,2,2,0.013629210240770698,0.027598611940195417,0.045974728377925544,0.036000070987801315,0.04172902244750268,0.024944649211480763
