tag,MI_nats_mean,MI_nats_std,MI_nats_count,NMI_mean,NMI_std,NMI_count,AMI_mean,AMI_std,AMI_count,delta_MI_nats_mean,delta_NMI_mean,delta_AMI_mean
baseline,1.48090509530441,0.04636175903496623,2,0.6112712782575419,0.02651951438803506,2,0.6109162767800727,0.026561245057799648,2,0.0,0.0,0.0
no_gene_recon,1.2947810830214355,0.024864962147472223,2,0.4852658459292067,0.004232800941493211,2,0.4847287841677451,0.00421658095985289,2,-0.1861240122829746,-0.12600543232833522,-0.12618749261232753
no_edge_recon,1.486942149949083,0.0785491090896367,2,0.6073694597254353,0.04194992815025753,2,0.607014633237823,0.042003799968412595,2,0.006037054644672857,-0.0039018185321065824,-0.0039016435422496443
no_instance_loss,1.4629395385860429,0.01675712829107246,2,0.5929507230123461,0.016503137874753625,2,0.5925541995038963,0.0165350162209322,2,-0.017965556718367193,-0.018320555245195824,-0.018362077276176336
no_cluster_loss,1.4693998315140275,0.026998273435877858,2,0.6007373628471819,0.03218799597350632,2,0.6003758856356609,0.03227089166865667,2,-0.011505263790382525,-0.010533915410359973,-0.010540391144411743
no_contrastive,1.5127388342785266,0.024566878987205273,2,0.6102397591519624,0.017358751964268643,2,0.6098774224067312,0.01737033034516444,2,0.031833738974116566,-0.0010315191055795259,-0.0010388543733415023
no_entropy_HY,1.48911243689755,0.0068341143043856925,2,0.5859787438317554,0.03676058583872222,2,0.5855555536412771,0.03688418419259675,2,0.00820734159313985,-0.025292534425786495,-0.02536072313879556
no_adj_recon,1.56528582474438,0.010807109346857238,2,0.6478984176335455,0.0021749978713966767,2,0.6475904527142128,0.0021780461941896525,2,0.08438072943996988,0.03662713937600359,0.03667417593414013
