tag,seed,latent_mi_sum_nats,latent_mi_mean_nats,latent_mi_max_nats
baseline,2024,9.00982754962405,0.45049137748120255,0.6482321315018575
baseline,2025,9.3260906619888,0.46630453309944003,0.6214085823156186
no_adj_recon,2024,9.929191807912677,0.4964595903956338,0.6653640433509489
no_adj_recon,2025,10.700475763162105,0.5350237881581053,0.6474251197343999
no_cluster_loss,2024,9.195633224542846,0.45978166122714226,0.7182099782861964
no_cluster_loss,2025,9.5273175946633,0.476365879733165,0.6514480448114552
no_contrastive,2024,9.042115036643349,0.45210575183216745,0.6837347150033595
no_contrastive,2025,9.285351557421649,0.4642675778710824,0.5942123320664439
no_edge_recon,2024,6.673646193645368,0.3336823096822684,0.7785797564179919
no_edge_recon,2025,6.516971768353593,0.32584858841767966,0.681739308206371
no_entropy_HY,2024,9.171145834925603,0.4585572917462802,0.6243036402905382
no_entropy_HY,2025,9.41860154465543,0.4709300772327715,0.646067264211712
no_gene_recon,2024,8.424947967422613,0.4212473983711306,0.5828937851189542
no_gene_recon,2025,8.257882812491045,0.41289414062455226,0.5952377026270179
no_instance_loss,2024,8.853925435961635,0.44269627179808174,0.6530072362680972
no_instance_loss,2025,9.27025636638709,0.4635128183193545,0.6091220687042149
