tag,ARI_mean,ARI_std,ARI_count,NMI_mean,NMI_std,NMI_count,AMI_mean,AMI_std,AMI_count,HOM_mean,HOM_std,HOM_count,ASW_mean,ASW_std,ASW_count,train_sec_mean,train_sec_std,train_sec_count,peak_gpu_gb_mean,peak_gpu_gb_std,peak_gpu_gb_count,delta_ARI_mean,paired_delta_ARI_mean,paired_delta_ARI_std,delta_NMI_mean,paired_delta_NMI_mean,paired_delta_NMI_std,delta_ASW_mean,paired_delta_ASW_mean,paired_delta_ASW_std
baseline,0.4833297863973248,0.03927643354130283,2,0.6051251723068922,0.0020133876134089583,2,0.6024544628262676,0.0021881041169263425,2,0.6307315941471824,0.007256969822378996,2,0.11875325185629175,0.017263626352056253,2,873.85,617.7991947226866,2,67.92,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_gene_recon,0.3416532481681409,0.021449834077655154,2,0.5066338723156028,0.026826308633382714,2,0.5033654464574902,0.027003444104709638,2,0.5429270386731491,0.029624944823104588,2,0.0101975634384602,0.015584976955413275,2,505.29999999999995,39.739401102683985,2,67.92,0.0,2,-0.1416765382291839,-0.14167653822918386,0.017826599463647713,-0.09849129999128947,-0.09849129999128942,0.024812921019973715,-0.10855568841783154,-0.10855568841783154,0.03284860330746952
no_edge_recon,0.4219120423094411,0.020464454521690677,2,0.5868671183931105,0.005545738979857416,2,0.5838490532314367,0.00540542768531141,2,0.6219729815073118,0.007691036008144709,2,0.12357605554570734,0.012595651344936195,2,335.85,46.73975823643079,2,67.92,0.0,2,-0.0614177440878837,-0.0614177440878837,0.018811979019612148,-0.01825805391378177,-0.018258053913781713,0.0075591265932664145,0.0048228036894155946,0.0048228036894155946,0.004667975007120057
no_instance_loss,0.45845193311040966,0.045467714954451184,2,0.5884914991565516,0.00021341984230737918,2,0.585471627076334,0.00019603391229052676,2,0.6211947430232807,0.008999860986102526,2,0.11975783100024061,0.014805125768404622,2,324.0,57.69991334482229,2,67.92,0.0,2,-0.024877853286915164,-0.024877853286915108,0.006191281413148314,-0.01663367315034059,-0.01663367315034059,0.0017999677711015793,0.0010045791439488583,0.0010045791439488583,0.00245850058365163
no_cluster_loss,0.40190583528445895,0.03407045369734052,2,0.5796463877987963,0.000762764957158085,2,0.5767740622892805,0.0008536151580334427,2,0.6124972831745756,0.0012453104436097907,2,0.11655009070978904,0.01757621936136453,2,347.70000000000005,22.061731573020296,2,67.92,0.0,2,-0.08142395111286588,-0.08142395111286585,0.005205979843962332,-0.02547878450809593,-0.025478784508095875,0.0012506226562509128,-0.002203161146502708,-0.002203161146502708,0.0003125930093082776
no_contrastive,0.4369943966796447,0.011865469004570507,2,0.5887489137269479,0.0053382704693610205,2,0.5857874668174716,0.005631418461655858,2,0.61866930208621,0.0028466386291434794,2,0.11989373828272305,0.012701690024943037,2,314.3,12.020815280171307,2,67.92,0.0,2,-0.04633538971768014,-0.046335389717680114,0.02741096453673234,-0.01637625857994429,-0.016376258579944347,0.00735165808276994,0.001140486426431303,0.001140486426431303,0.004561936327113215
no_entropy_HY,0.4395876654897568,0.10679064957138451,2,0.5900687515933358,0.014449550518453789,2,0.5873398417890998,0.014972951097002639,2,0.6072373264879054,0.005911762533365895,2,0.11947470837095416,0.013257933818056284,2,438.5,192.47446583897826,2,67.92,0.0,2,-0.043742120907568016,-0.043742120907568016,0.06751421603008168,-0.015056420713556395,-0.01505642071355634,0.012436162905044791,0.0007214565146624052,0.0007214565146624052,0.004005692533999968
no_adj_recon,0.43609483639626556,0.042201135012524406,2,0.5919194894183236,0.00924097553856576,2,0.5888766740781051,0.009220495598764922,2,0.6310476829510487,0.0051775667717490655,2,0.1211454542520182,0.010559776062603613,2,343.65,20.011121907579284,2,67.92,0.0,2,-0.04723495000105926,-0.047234950001059234,0.0029247014712215575,-0.013205682888568604,-0.013205682888568604,0.007227587925156801,0.0023922023957264477,0.0023922023957264546,0.0067038502894526345
