tag,latent_mi_sum_nats_mean,latent_mi_sum_nats_std,latent_mi_sum_nats_count,latent_mi_mean_nats_mean,latent_mi_mean_nats_std,latent_mi_mean_nats_count,latent_mi_max_nats_mean,latent_mi_max_nats_std,latent_mi_max_nats_count,delta_latent_mi_sum_nats_mean,delta_latent_mi_mean_nats_mean,delta_latent_mi_max_nats_mean
baseline,9.167959105806425,0.22363179139227818,2,0.4583979552903213,0.011181589569613877,2,0.6348203569087381,0.018967113525080476,2,0.0,0.0,0.0
no_gene_recon,8.341415389956829,0.1181329039520923,2,0.41707076949784144,0.005906645197604616,2,0.589065743872986,0.00872846777635922,2,-0.8265437158495956,-0.04132718579247985,-0.04575461303575201
no_edge_recon,6.59530898099948,0.11078554856231884,2,0.32976544904997407,0.005539277428115985,2,0.7301595323121814,0.06847653762358186,2,-2.5726501248069447,-0.12863250624034722,0.09533917540344339
no_instance_loss,9.062090901174361,0.2943904241215441,2,0.4531045450587181,0.01471952120607719,2,0.6310646524861561,0.03103149957792908,2,-0.10586820463206337,-0.0052934102316031795,-0.0037557044225819958
no_cluster_loss,9.361475409603074,0.23453626732576136,2,0.46807377048015364,0.01172681336628813,2,0.6848290115488258,0.04720781588511462,2,0.19351630379664897,0.009675815189832349,0.050008654640087746
no_contrastive,9.163733297032499,0.17199419327455853,2,0.45818666485162496,0.008599709663727884,2,0.6389735235349017,0.0633018840426719,2,-0.004225808773925976,-0.00021129043869633213,0.004153166626163607
no_entropy_HY,9.294873689790517,0.17497761039329082,2,0.46474368448952585,0.008748880519664525,2,0.6351854522511251,0.015389206057855763,2,0.1269145839840924,0.006345729199204564,0.0003650953423870451
no_adj_recon,10.314833785537392,0.5453801149772518,2,0.5157416892768696,0.0272690057488626,2,0.6563945815426744,0.012684734536449324,2,1.146874679730967,0.057343733986548295,0.021574224633936323
