tag,seed,MI_nats,NMI,AMI,n_labels,n_pred
baseline,2024,1.5136878095057715,0.6300234067150957,0.6296979132772004,17,12
baseline,2025,1.4481223811030488,0.5925191497999881,0.5921346402829448,17,13
no_adj_recon,2024,1.5576440444401927,0.6463604618896146,0.6460503414805637,17,12
no_adj_recon,2025,1.5729276050485672,0.6494363733774764,0.6491305639478618,17,12
no_cluster_loss,2024,1.4884904937408654,0.6234977130728536,0.6231948519695044,17,11
no_cluster_loss,2025,1.4503091692871897,0.5779770126215104,0.5775569193018173,17,14
no_contrastive,2024,1.5301102410029688,0.6225142503788321,0.6221601007852473,17,13
no_contrastive,2025,1.4953674275540845,0.5979652679250927,0.5975947440282149,17,13
no_edge_recon,2024,1.542484757642527,0.6370325383907708,0.6367158050310909,17,12
no_edge_recon,2025,1.431399542255639,0.5777063810600997,0.5773134614445552,17,13
no_entropy_HY,2024,1.493944885465585,0.6119724033587061,0.6116366104023959,17,12
no_entropy_HY,2025,1.4842799883295148,0.5599850843048048,0.5594744968801583,17,17
no_gene_recon,2024,1.31236326636986,0.48825888817834934,0.48771035715787914,17,16
no_gene_recon,2025,1.277198899673011,0.48227280368006403,0.48174721117761105,17,15
no_instance_loss,2024,1.4747886176338731,0.6046202037144409,0.604246221600747,17,13
no_instance_loss,2025,1.4510904595382126,0.5812812423102512,0.5808621774070456,17,14
