method,n_obs_scored,n_target,n_pred,ARI,NMI,AMI,Homogeneity,Silhouette,gt_key
soFusion,9215,11,5,0.2965,0.3376,0.3368,0.2843,0.5086,RNA_clusters
SpaMI,9215,11,8,0.2872,0.3682,0.3669,0.3677,0.5153,RNA_clusters
SpaMosaic,9215,11,11,0.2954,0.3997,0.3982,0.4252,0.5208,RNA_clusters
FGOT,9215,11,17,0.0013,0.0161,0.0124,0.019,0.4846,RNA_clusters
SpatialGlue,9215,11,9,0.3407,0.4124,0.4111,0.4114,0.5133,RNA_clusters
MOFA,9215,11,6,0.3851,0.3805,0.3796,0.3526,0.5311,RNA_clusters
MultiVI,9215,11,18,0.1749,0.3367,0.3341,0.4053,0.4827,RNA_clusters
NicheCompass,9215,11,7,0.3416,0.3929,0.3919,0.3797,0.522,RNA_clusters
Garfield,9215,11,5,0.3861,0.4507,0.4499,0.3727,0.5366,RNA_clusters
