method,n_obs_scored,n_target,n_pred,ARI,NMI,AMI,Homogeneity,Silhouette,gt_key
soFusion,9215,14,9,0.2152,0.2419,0.2398,0.2143,0.4804,ATAC_clusters
SpaMI,9215,14,14,0.1767,0.305,0.3023,0.3208,0.4591,ATAC_clusters
SpaMosaic,9215,14,11,0.2527,0.3443,0.3423,0.3397,0.454,ATAC_clusters
FGOT,9215,14,17,0.0026,0.0211,0.0167,0.023,0.4864,ATAC_clusters
SpatialGlue,9215,14,9,0.3172,0.3692,0.3676,0.3432,0.4994,ATAC_clusters
MOFA,9215,14,6,0.3736,0.4083,0.4073,0.3545,0.5,ATAC_clusters
MultiVI,9215,14,18,0.1898,0.3402,0.337,0.3768,0.4099,ATAC_clusters
NicheCompass,9215,14,9,0.2292,0.3009,0.2991,0.2802,0.4695,ATAC_clusters
Garfield,9215,14,9,0.3099,0.3569,0.3552,0.3295,0.5095,ATAC_clusters
