ARI,NMI,AMI,HOM,COM,VMEASURE,n_clusters_pred,n_labels,n_obs,ASW_pred,ASW_label,method,label_key,resolution,cluster_key,representation,target_n_labels,abs_cluster_delta
0.0,0.0,1.5072075519646102e-16,0.0,1.0,0.0,1,32,1024,,-0.09475429356098175,soFusion,predicted.celltype,0.1,leiden_r0_100,embedding,32,31
0.0,0.0,1.5072075519646102e-16,0.0,1.0,0.0,1,32,1024,,-0.09475429356098175,soFusion,predicted.celltype,0.15,leiden_r0_150,embedding,32,31
0.0,0.0,1.5072075519646102e-16,0.0,1.0,0.0,1,32,1024,,-0.09475429356098175,soFusion,predicted.celltype,0.2,leiden_r0_200,embedding,32,31
0.0,0.0,1.5072075519646102e-16,0.0,1.0,0.0,1,32,1024,,-0.09475429356098175,soFusion,predicted.celltype,0.25,leiden_r0_250,embedding,32,31
0.0,0.0,1.5072075519646102e-16,0.0,1.0,0.0,1,32,1024,,-0.09475429356098175,soFusion,predicted.celltype,0.3,leiden_r0_300,embedding,32,31
0.008897535662952915,0.05877173676474394,0.049351499046066324,0.0319965175530191,0.36015772018658704,0.05877173676474395,2,32,1024,0.07260426878929138,-0.09475429356098175,soFusion,predicted.celltype,0.35,leiden_r0_350,embedding,32,30
0.008424103623235766,0.05648665818980171,0.04704658391196293,0.030954799852845195,0.3224326121715239,0.056486658189801704,2,32,1024,0.07181648910045624,-0.09475429356098175,soFusion,predicted.celltype,0.4,leiden_r0_400,embedding,32,30
0.007771930155271329,0.05550623696119875,0.04616655719515614,0.031072672167588626,0.2597829809338168,0.055506236961198746,2,32,1024,0.05726362019777298,-0.09475429356098175,soFusion,predicted.celltype,0.45,leiden_r0_450,embedding,32,30
0.0160926889734609,0.08115658216928412,0.07294328601997238,0.04936106705652552,0.22805861764895827,0.08115658216928412,2,32,1024,0.04101044312119484,-0.09475429356098175,soFusion,predicted.celltype,0.5,leiden_r0_500,embedding,32,30
0.045159557045281344,0.11386858761069255,0.10605393065204954,0.07000138762519309,0.30500122098927407,0.11386858761069256,2,32,1024,0.040419094264507294,-0.09475429356098175,soFusion,predicted.celltype,0.55,leiden_r0_550,embedding,32,30
0.07278273024722487,0.16224432565658564,0.14849652061779894,0.10915203089971338,0.3159004816263714,0.1622443256565857,3,32,1024,0.0386798232793808,-0.09475429356098175,soFusion,predicted.celltype,0.6,leiden_r0_600,embedding,32,29
0.06948484503823758,0.15703400261233794,0.1432167367568019,0.10574425390763961,0.3049415908286517,0.15703400261233794,3,32,1024,0.03851526230573654,-0.09475429356098175,soFusion,predicted.celltype,0.65,leiden_r0_650,embedding,32,29
0.09153422817727644,0.178610566098136,0.15964559780707746,0.12953011537035633,0.28757667711658996,0.178610566098136,4,32,1024,0.038285546004772186,-0.09475429356098175,soFusion,predicted.celltype,0.7,leiden_r0_700,embedding,32,28
0.09498055727068258,0.17281973118393115,0.1538767377502244,0.12621333275191896,0.2739981689328823,0.17281973118393112,4,32,1024,0.03211335092782974,-0.09475429356098175,soFusion,predicted.celltype,0.75,leiden_r0_750,embedding,32,28
0.09172405765200328,0.17830427900561158,0.15948913912958562,0.13023195804663393,0.2826316693465878,0.1783042790056116,4,32,1024,0.03181944414973259,-0.09475429356098175,soFusion,predicted.celltype,0.8,leiden_r0_800,embedding,32,28
0.09558054489552308,0.1788965585515217,0.16008099605792325,0.130583795642113,0.2839516032194254,0.1788965585515217,4,32,1024,0.03185734152793884,-0.09475429356098175,soFusion,predicted.celltype,0.85,leiden_r0_850,embedding,32,28
0.09435523167214704,0.18971868399318115,0.16576944296856744,0.1426407235912385,0.2831815391310922,0.18971868399318115,5,32,1024,0.03136862441897392,-0.09475429356098175,soFusion,predicted.celltype,0.9,leiden_r0_900,embedding,32,27
0.09903386234233123,0.1867792796379043,0.1626595999665417,0.1416583182963983,0.27407875542398896,0.18677927963790433,5,32,1024,0.03028653748333454,-0.09475429356098175,soFusion,predicted.celltype,0.95,leiden_r0_950,embedding,32,27
0.10597187406033771,0.19020786644214985,0.16121237674995034,0.14846368436061944,0.2646091861684725,0.19020786644214988,6,32,1024,0.030259551480412483,-0.09475429356098175,soFusion,predicted.celltype,1.0,leiden_r1_000,embedding,32,26
0.10629445823567468,0.1944493932543827,0.16062038533581588,0.15767644482276874,0.2535914174649014,0.19444939325438268,7,32,1024,0.025265861302614212,-0.09475429356098175,soFusion,predicted.celltype,1.05,leiden_r1_050,embedding,32,25
0.11532195836016952,0.2095095862722104,0.1717019272074752,0.17468723132104902,0.26167148258381784,0.2095095862722104,8,32,1024,0.021805230528116226,-0.09475429356098175,soFusion,predicted.celltype,1.1,leiden_r1_100,embedding,32,24
0.08597770434620082,0.19588221733695513,0.14888485946437507,0.16847458508663807,0.23393980395950856,0.19588221733695513,10,32,1024,0.013841775245964527,-0.09475429356098175,soFusion,predicted.celltype,1.15,leiden_r1_150,embedding,32,22
0.08167846755458712,0.1909165374970135,0.1389764101707559,0.1675151335701036,0.22191785167683606,0.19091653749701348,11,32,1024,0.018612541258335114,-0.09475429356098175,soFusion,predicted.celltype,1.2,leiden_r1_200,embedding,32,21
0.08030103268720287,0.19281418790099294,0.14129033497111135,0.17004146385360308,0.22262977740945722,0.19281418790099292,11,32,1024,0.016855966299772263,-0.09475429356098175,soFusion,predicted.celltype,1.25,leiden_r1_250,embedding,32,21
0.07272533070517452,0.19691800391216094,0.14104963824109104,0.17721428907011377,0.22155137354696594,0.19691800391216097,12,32,1024,0.016881704330444336,-0.09475429356098175,soFusion,predicted.celltype,1.3,leiden_r1_300,embedding,32,20
0.058831593234825764,0.1924756493370102,0.13179127949546288,0.17681400325425262,0.21118146011368574,0.19247564933701025,13,32,1024,0.020002279430627823,-0.09475429356098175,soFusion,predicted.celltype,1.35,leiden_r1_350,embedding,32,19
0.06691382526901782,0.1990924705279242,0.13165691900641383,0.1857351519052331,0.2145198692460722,0.19909247052792417,15,32,1024,0.01713309809565544,-0.09475429356098175,soFusion,predicted.celltype,1.4,leiden_r1_400,embedding,32,17
0.09318474390445382,0.21492262294099912,0.13723026996968096,0.2057498762812727,0.22495141304225413,0.21492262294099912,18,32,1024,0.01255726721137762,-0.09475429356098175,soFusion,predicted.celltype,1.45,leiden_r1_450,embedding,32,14
0.06972490722736835,0.2110392011734264,0.13406620440822403,0.20055966551906043,0.22267425653002845,0.2110392011734264,18,32,1024,0.005392228253185749,-0.09475429356098175,soFusion,predicted.celltype,1.5,leiden_r1_500,embedding,32,14
0.06720870093828235,0.2118377964382904,0.13371183739124534,0.2037188984934439,0.22063068726303423,0.21183779643829043,18,32,1024,0.01686650514602661,-0.09475429356098175,soFusion,predicted.celltype,1.55,leiden_r1_550,embedding,32,14
0.05753993118400581,0.22424869885724835,0.13333022510995252,0.2233504703646717,0.22515418117130226,0.22424869885724835,22,32,1024,0.009993053041398525,-0.09475429356098175,soFusion,predicted.celltype,1.6,leiden_r1_600,embedding,32,10
0.05784490565508991,0.22576025139608266,0.1354263993820953,0.22411521592513053,0.22742961499672093,0.2257602513960827,22,32,1024,0.012597352266311646,-0.09475429356098175,soFusion,predicted.celltype,1.65,leiden_r1_650,embedding,32,10
0.06180117479208608,0.22557925265427356,0.13499828985294565,0.2248396923016403,0.22632369430269572,0.22557925265427356,22,32,1024,0.014700503088533878,-0.09475429356098175,soFusion,predicted.celltype,1.7,leiden_r1_700,embedding,32,10
