epoch,loss
0,40.01017379760742
1,39.036376953125
2,38.15913391113281
3,37.45230484008789
4,36.86835479736328
5,36.41765213012695
6,36.03624725341797
7,35.710304260253906
8,35.42612838745117
9,35.174461364746094
10,34.919315338134766
11,34.68833541870117
12,34.43063735961914
13,34.20930099487305
14,33.974609375
15,33.75074768066406
16,33.5623779296875
17,33.36471176147461
18,33.179561614990234
19,33.00537109375
20,32.82614517211914
21,32.6734733581543
22,32.534881591796875
23,32.422061920166016
24,32.31203842163086
25,32.22761154174805
26,32.149017333984375
27,32.072696685791016
28,32.01860046386719
29,31.953336715698242
30,31.912687301635742
31,31.861568450927734
32,31.79762077331543
33,31.775611877441406
34,31.7347469329834
35,31.70655632019043
36,31.674211502075195
37,31.631986618041992
38,31.606712341308594
39,31.583824157714844
40,31.538532257080078
41,31.52326202392578
42,31.474395751953125
43,31.432899475097656
44,31.41787338256836
45,31.39075469970703
46,31.362916946411133
47,31.35365867614746
48,31.30823516845703
49,31.291994094848633
50,31.274681091308594
51,31.254920959472656
52,31.232891082763672
53,31.218692779541016
54,31.196420669555664
55,31.190061569213867
56,31.16876220703125
57,31.151792526245117
58,31.12485122680664
59,31.115392684936523
60,31.097248077392578
61,31.081684112548828
62,31.059783935546875
63,31.05951499938965
64,31.040307998657227
65,31.01953887939453
66,31.01439666748047
67,30.992551803588867
68,30.982046127319336
69,30.97852325439453
70,30.960906982421875
71,30.948841094970703
72,30.928743362426758
73,30.91996955871582
74,30.90919303894043
75,30.898696899414062
76,30.87700843811035
77,30.873783111572266
78,30.863462448120117
79,30.84248924255371
80,30.8292236328125
81,30.82734489440918
82,30.830184936523438
83,30.81133270263672
84,30.79552459716797
85,30.789806365966797
86,30.774290084838867
87,30.757713317871094
88,30.752120971679688
89,30.745859146118164
90,30.7327823638916
91,30.725942611694336
92,30.72115135192871
93,30.716888427734375
94,30.699573516845703
95,30.69862937927246
96,30.680757522583008
97,30.680097579956055
98,30.6622314453125
99,30.66319465637207
100,30.658536911010742
101,30.639760971069336
102,30.635852813720703
103,30.629493713378906
104,30.622068405151367
