ARI,NMI,AMI,HOM,COM,VMEASURE,n_clusters_pred,n_labels,n_obs,ASW_pred,ASW_label,method,label_key,resolution,cluster_key,representation,target_n_labels,abs_cluster_delta
0.11304442934514182,0.2714568798071762,0.2701496632113256,0.17718844118167487,0.5800653629803072,0.2714568798071762,3,33,9215,0.31189900636672974,-0.13551396131515503,SpaMI,predicted.celltype,0.1,leiden_r0_100,embedding,33,30
0.138709887136381,0.3101873610711873,0.3084198712331055,0.2134694711585055,0.5671489090027835,0.31018736107118733,4,33,9215,0.2747252583503723,-0.13551396131515503,SpaMI,predicted.celltype,0.15,leiden_r0_150,embedding,33,29
0.18190996191673162,0.328859634655262,0.32674693628576557,0.24591862973344875,0.49621971618824867,0.328859634655262,5,33,9215,0.19927456974983215,-0.13551396131515503,SpaMI,predicted.celltype,0.2,leiden_r0_200,embedding,33,28
0.2282685036902997,0.35306532860947915,0.3497184116311051,0.28324225359707644,0.46857559852647074,0.3530653286094792,8,33,9215,0.1709877997636795,-0.13551396131515503,SpaMI,predicted.celltype,0.25,leiden_r0_250,embedding,33,25
0.22939539879989307,0.3475587331814181,0.3441881035147648,0.2791971824728561,0.4602515155340115,0.34755873318141817,8,33,9215,0.1843838095664978,-0.13551396131515503,SpaMI,predicted.celltype,0.3,leiden_r0_300,embedding,33,25
0.2660819288378232,0.3545557309789753,0.3508690660231702,0.2946255043628761,0.4450927264805752,0.3545557309789752,9,33,9215,0.18443100154399872,-0.13551396131515503,SpaMI,predicted.celltype,0.35,leiden_r0_350,embedding,33,24
0.26420644262986914,0.3505517120208066,0.346838516176081,0.29108652437640026,0.4405504298785891,0.3505517120208066,9,33,9215,0.17108383774757385,-0.13551396131515503,SpaMI,predicted.celltype,0.4,leiden_r0_400,embedding,33,24
0.27222216166039764,0.3592765021992601,0.3551929104522171,0.30186503387968605,0.44365486451407776,0.35927650219926,10,33,9215,0.17663639783859253,-0.13551396131515503,SpaMI,predicted.celltype,0.45,leiden_r0_450,embedding,33,23
0.2240168469028623,0.3414781143703084,0.3373768761203243,0.2928988430803602,0.40937590019241904,0.3414781143703084,10,33,9215,0.13401122391223907,-0.13551396131515503,SpaMI,predicted.celltype,0.5,leiden_r0_500,embedding,33,23
0.2235746468606977,0.3422143806416737,0.3381132199592952,0.29322110820040936,0.4108642228350538,0.34221438064167375,10,33,9215,0.13614389300346375,-0.13551396131515503,SpaMI,predicted.celltype,0.55,leiden_r0_550,embedding,33,23
0.23293146287687058,0.34567218449136694,0.341242309907933,0.3032806184044163,0.40184006552400997,0.34567218449136694,11,33,9215,0.12451847642660141,-0.13551396131515503,SpaMI,predicted.celltype,0.6,leiden_r0_600,embedding,33,22
0.21614322765471353,0.3561348757611503,0.35132771753889785,0.31091898181390876,0.41673995529794094,0.3561348757611503,12,33,9215,0.1291310042142868,-0.13551396131515503,SpaMI,predicted.celltype,0.65,leiden_r0_650,embedding,33,21
0.24897303025546194,0.3660754963247415,0.36103182646978343,0.32742220223387836,0.41507669908543143,0.3660754963247415,13,33,9215,0.11816015094518661,-0.13551396131515503,SpaMI,predicted.celltype,0.7,leiden_r0_700,embedding,33,20
0.24232560143607895,0.36224671376342205,0.35681710253207344,0.32847088594511237,0.4037648264511388,0.362246713763422,14,33,9215,0.11645742505788803,-0.13551396131515503,SpaMI,predicted.celltype,0.75,leiden_r0_750,embedding,33,19
