ARI,NMI,AMI,HOM,COM,VMEASURE,n_clusters_pred,n_labels,n_obs,ASW_pred,ASW_label,method,label_key,resolution,cluster_key,representation,target_n_labels,abs_cluster_delta
0.18688818240179617,0.31626341661393303,0.3141183183249701,0.2372845710726923,0.47404747304804035,0.316263416613933,5,33,9215,0.31571123003959656,-0.18580949306488037,SpaMosaic,predicted.celltype,0.1,leiden_r0_100,embedding,33,28
0.20969174787626763,0.3279312108924453,0.3249026965303517,0.2583299684522589,0.448868919715685,0.32793121089244537,7,33,9215,0.2733358144760132,-0.18580949306488037,SpaMosaic,predicted.celltype,0.15,leiden_r0_150,embedding,33,26
0.21329098027037316,0.34954811928783647,0.3459129478083609,0.2963270537961105,0.4260716285558805,0.3495481192878364,9,33,9215,0.2822812795639038,-0.18580949306488037,SpaMosaic,predicted.celltype,0.2,leiden_r0_200,embedding,33,24
0.22244539629299204,0.3495984595305132,0.3455881903476747,0.3027081630702721,0.41367832864465354,0.3495984595305132,10,33,9215,0.2865871787071228,-0.18580949306488037,SpaMosaic,predicted.celltype,0.25,leiden_r0_250,embedding,33,23
0.20832256569662486,0.3383157616256167,0.33461868197011146,0.2870709525282497,0.4118314726783068,0.3383157616256166,9,33,9215,0.2605375349521637,-0.18580949306488037,SpaMosaic,predicted.celltype,0.3,leiden_r0_300,embedding,33,24
0.21902122094879944,0.34723684505020214,0.34324269816899516,0.30268701863076675,0.40716366551687266,0.34723684505020214,10,33,9215,0.2746944725513458,-0.18580949306488037,SpaMosaic,predicted.celltype,0.35,leiden_r0_350,embedding,33,23
0.22853894166115912,0.3608849563663353,0.3565381352388534,0.31564783244266115,0.42125755618956806,0.3608849563663353,11,33,9215,0.28036659955978394,-0.18580949306488037,SpaMosaic,predicted.celltype,0.4,leiden_r0_400,embedding,33,22
0.19750890188267498,0.3585752163923115,0.35387599780209417,0.3204085377995076,0.4070642147069365,0.35857521639231155,12,33,9215,0.26073530316352844,-0.18580949306488037,SpaMosaic,predicted.celltype,0.45,leiden_r0_450,embedding,33,21
0.19921062001819775,0.3558054262372805,0.3507153723167258,0.32200142702546625,0.39753947792306216,0.3558054262372805,13,33,9215,0.259536474943161,-0.18580949306488037,SpaMosaic,predicted.celltype,0.5,leiden_r0_500,embedding,33,20
0.198194503454836,0.3570712170168938,0.35168680490609605,0.3303450583654788,0.38850253438493226,0.35707121701689387,14,33,9215,0.23104742169380188,-0.18580949306488037,SpaMosaic,predicted.celltype,0.55,leiden_r0_550,embedding,33,19
0.2146210777807652,0.3610179466119521,0.3552780780948936,0.3338630533905323,0.39298124287983865,0.3610179466119521,15,33,9215,0.22992850840091705,-0.18580949306488037,SpaMosaic,predicted.celltype,0.6,leiden_r0_600,embedding,33,18
