method,n_obs_scored,n_target,n_pred,ARI,NMI,AMI,Homogeneity,Silhouette,gt_key
Garfield_cn30svdq3,9215,14,13,0.3006,0.3516,0.3492,0.3504,0.5085,ATAC_clusters
Garfield_cn30svdq3,9215,11,5,0.3556,0.4104,0.4097,0.3614,0.5369,RNA_clusters
Garfield_cn30svdq3,9215,33,13,0.2675,0.3627,0.3577,0.3201,0.4587,predicted.celltype
