method,n_obs_scored,n_target,n_pred,ARI,NMI,AMI,Homogeneity,Silhouette,gt_key
Garfield_cn30nh4,9215,14,10,0.2934,0.3546,0.3527,0.338,0.488,ATAC_clusters
Garfield_cn30nh4,9215,11,6,0.3497,0.4035,0.4026,0.3657,0.5331,RNA_clusters
Garfield_cn30nh4,9215,33,8,0.2205,0.3445,0.3411,0.2782,0.433,predicted.celltype
