method,n_obs_scored,n_target,n_pred,ARI,NMI,AMI,Homogeneity,Silhouette,gt_key
Garfield_gene3adj50,9215,14,11,0.2804,0.3488,0.3468,0.3428,0.4954,ATAC_clusters
Garfield_gene3adj50,9215,11,4,0.3524,0.4128,0.4122,0.3294,0.5415,RNA_clusters
Garfield_gene3adj50,9215,33,11,0.2214,0.3496,0.3452,0.3049,0.426,predicted.celltype
