method,n_obs_scored,n_target,n_pred,ARI,NMI,AMI,Homogeneity,Silhouette,gt_key
Garfield_ep50bn50cl2,9215,14,8,0.3075,0.3561,0.3546,0.3229,0.5065,ATAC_clusters
Garfield_ep50bn50cl2,9215,11,4,0.3576,0.4186,0.418,0.3344,0.5383,RNA_clusters
Garfield_ep50bn50cl2,9215,33,16,0.2284,0.3619,0.3558,0.3345,0.4556,predicted.celltype
