method,n_obs_scored,n_target,n_pred,ARI,NMI,AMI,Homogeneity,Silhouette,gt_key
Garfield_ep75cl1,9215,14,8,0.2963,0.3554,0.3538,0.3181,0.486,ATAC_clusters
Garfield_ep75cl1,9215,11,5,0.3647,0.4093,0.4086,0.354,0.5357,RNA_clusters
Garfield_ep75cl1,9215,33,8,0.2226,0.3413,0.3379,0.2745,0.4222,predicted.celltype
