epoch,L_ins,I_NCE
1,6.100344,0.136026
2,5.733095,0.503274
3,5.648696,0.587673
4,5.608086,0.628284
5,5.587528,0.648842
6,5.562858,0.673512
7,5.533223,0.703146
8,5.520887,0.715483
9,5.506058,0.730312
10,5.497541,0.738828
11,5.487139,0.749230
12,5.481080,0.755290
13,5.473545,0.762825
14,5.475359,0.761010
15,5.471217,0.765153
16,5.466691,0.769678
17,5.463861,0.772509
18,5.465673,0.770697
19,5.465806,0.770564
20,5.465349,0.771021
21,5.465790,0.770580
22,5.468234,0.768136
23,5.465952,0.770418
24,5.466140,0.770229
25,5.465766,0.770604
26,5.464347,0.772022
27,5.463778,0.772591
