variant,I_NCE_latent_mean,I_NCE_latent_sd,I_NCE_latent_shuffled_mean,I_NCE_projector_mean,I_NCE_projector_sd,seeds,n_obs_train,eval_candidate_count,fixed_K,temperature
full,0.6641,0.0215,-0.0902,0.7473,0.0169,"2024,2025",41786,256,511,1.0
no_contrastive,0.6579,0.0137,-0.0901,0.3365,0.0079,"2024,2025",41786,256,511,1.0
