epoch,L_ins,I_NCE
1,6.188171,0.048199
2,6.115252,0.121117
3,6.077700,0.158670
4,6.070604,0.165765
5,6.055734,0.180636
6,6.031154,0.205216
7,6.019700,0.216670
8,6.001638,0.234731
9,5.986856,0.249513
10,5.979658,0.256712
11,5.968132,0.268238
12,5.964128,0.272242
13,5.956106,0.280264
14,5.954384,0.281986
15,5.949728,0.286642
16,5.945973,0.290397
17,5.947983,0.288387
18,5.943600,0.292769
19,5.941846,0.294524
20,5.939944,0.296426
21,5.939864,0.296506
22,5.934590,0.301780
23,5.940276,0.296094
24,5.938942,0.297427
25,5.939426,0.296944
26,5.938778,0.297592
27,5.937574,0.298796
28,5.935741,0.300629
29,5.933718,0.302651
30,5.930101,0.306268
31,5.933252,0.303118
32,5.931312,0.305058
33,5.933345,0.303024
34,5.933029,0.303341
35,5.933142,0.303227
36,5.930787,0.305583
37,5.934510,0.301860
38,5.931763,0.304607
