ARI,NMI,AMI,HOM,COM,VMEASURE,n_clusters_pred,n_labels,n_obs,ASW_pred,ASW_label,method,label_key,resolution,cluster_key,representation,target_n_labels,abs_cluster_delta
0.13186089463495243,0.2922156542116478,0.29097371599661354,0.1948818421351927,0.5837895953328425,0.29221565421164775,3,33,9215,0.36997127532958984,-0.13522525131702423,SpaMI,predicted.celltype,0.1,leiden_r0_100,embedding,33,30
0.15247849268566505,0.30718036521863706,0.3054323519550843,0.2145545187096551,0.5405368091606015,0.3071803652186371,4,33,9215,0.2722778618335724,-0.13522525131702423,SpaMI,predicted.celltype,0.15,leiden_r0_150,embedding,33,29
0.19197249912276626,0.3485422569754125,0.34602571890416384,0.2662003096918451,0.5046387639498102,0.34854225697541263,6,33,9215,0.17603980004787445,-0.13522525131702423,SpaMI,predicted.celltype,0.2,leiden_r0_200,embedding,33,27
0.21226521651819946,0.34242033759194623,0.33944079151896683,0.26843403121441456,0.472709421859854,0.3424203375919463,7,33,9215,0.15655764937400818,-0.13522525131702423,SpaMI,predicted.celltype,0.25,leiden_r0_250,embedding,33,26
0.2583059033432126,0.3467708436057112,0.3434671565207042,0.28412019448822073,0.44486748443526714,0.3467708436057112,8,33,9215,0.18396054208278656,-0.13522525131702423,SpaMI,predicted.celltype,0.3,leiden_r0_300,embedding,33,25
0.26498553979078204,0.35179911584257756,0.3480908684891994,0.29194185122045957,0.4425321243523584,0.3517991158425775,9,33,9215,0.17216143012046814,-0.13522525131702423,SpaMI,predicted.celltype,0.35,leiden_r0_350,embedding,33,24
0.2673581325680374,0.35299496320757645,0.3493002747748881,0.29344240629664725,0.44287382152871146,0.35299496320757645,9,33,9215,0.17319433391094208,-0.13522525131702423,SpaMI,predicted.celltype,0.4,leiden_r0_400,embedding,33,24
0.27746633544436466,0.3646005906986489,0.36056677459622183,0.3074374300269899,0.447876119584514,0.3646005906986489,10,33,9215,0.1770952343940735,-0.13522525131702423,SpaMI,predicted.celltype,0.45,leiden_r0_450,embedding,33,23
0.2731184469438154,0.36031049749339183,0.35624261637222643,0.30332743655560074,0.4436555910588545,0.3603104974933919,10,33,9215,0.17971405386924744,-0.13522525131702423,SpaMI,predicted.celltype,0.5,leiden_r0_500,embedding,33,23
0.23023507171977492,0.34643418794170516,0.342369210331679,0.2975367747602592,0.4145639302335133,0.34643418794170516,10,33,9215,0.13452360033988953,-0.13522525131702423,SpaMI,predicted.celltype,0.55,leiden_r0_550,embedding,33,23
0.23013845696183555,0.34967967934995076,0.3452143756497644,0.30312187065453067,0.4131348627904338,0.3496796793499507,11,33,9215,0.12510110437870026,-0.13522525131702423,SpaMI,predicted.celltype,0.6,leiden_r0_600,embedding,33,22
0.22683694171028795,0.35918997816576137,0.35438820716988856,0.31256128800665606,0.42217044139482524,0.3591899781657614,12,33,9215,0.1313980221748352,-0.13522525131702423,SpaMI,predicted.celltype,0.65,leiden_r0_650,embedding,33,21
0.22783143847789353,0.35250222796682135,0.34807191494607337,0.3044122878985136,0.41863696479475765,0.35250222796682135,11,33,9215,0.1318463236093521,-0.13522525131702423,SpaMI,predicted.celltype,0.7,leiden_r0_700,embedding,33,22
0.23949926000009505,0.3618345933802667,0.3567270938777759,0.3218707942409617,0.41312911697407323,0.36183459338026663,13,33,9215,0.1249963566660881,-0.13522525131702423,SpaMI,predicted.celltype,0.75,leiden_r0_750,embedding,33,20
0.2481820758270116,0.3655478305821193,0.3598054430130119,0.33641765095221976,0.4002009647380766,0.36554783058211937,15,33,9215,0.1143617108464241,-0.13522525131702423,SpaMI,predicted.celltype,0.8,leiden_r0_800,embedding,33,18
0.24247780828786866,0.3625960757645906,0.35679750960581574,0.33212691542238004,0.3992203553856846,0.3625960757645906,15,33,9215,0.1139206662774086,-0.13522525131702423,SpaMI,predicted.celltype,0.85,leiden_r0_850,embedding,33,18
0.23952786932444578,0.36382493894084955,0.358382639501913,0.3286875151737103,0.4073741369511896,0.36382493894084955,14,33,9215,0.11249285936355591,-0.13522525131702423,SpaMI,predicted.celltype,0.9,leiden_r0_900,embedding,33,19
0.24229955585384336,0.36292742969172564,0.3571397494525182,0.3327778333510134,0.3990843845558063,0.3629274296917257,15,33,9215,0.1110183522105217,-0.13522525131702423,SpaMI,predicted.celltype,0.95,leiden_r0_950,embedding,33,18
0.23025590764644566,0.3593888187281257,0.3532259859398893,0.3340137568894911,0.38893635649825964,0.3593888187281257,16,33,9215,0.10399721562862396,-0.13522525131702423,SpaMI,predicted.celltype,1.0,leiden_r1_000,embedding,33,17
0.23752833620534045,0.36297337704217747,0.3565099109186552,0.3415303634504778,0.38728937409977593,0.36297337704217747,17,33,9215,0.09725703299045563,-0.13522525131702423,SpaMI,predicted.celltype,1.05,leiden_r1_050,embedding,33,16
0.21844677690356998,0.3650562943617162,0.358672233077027,0.34623157624393075,0.38604571980568453,0.3650562943617162,17,33,9215,0.09375271946191788,-0.13522525131702423,SpaMI,predicted.celltype,1.1,leiden_r1_100,embedding,33,16
0.23716957204744948,0.36333646620688165,0.3575769803333216,0.33452362975313465,0.3975804458371627,0.3633364662068817,15,33,9215,0.1143808513879776,-0.13522525131702423,SpaMI,predicted.celltype,1.15,leiden_r1_150,embedding,33,18
0.2193283304297546,0.3592043719517533,0.3527214779782227,0.33888721290549956,0.382113029770162,0.35920437195175337,17,33,9215,0.1022937223315239,-0.13522525131702423,SpaMI,predicted.celltype,1.2,leiden_r1_200,embedding,33,16
